Id,Recomendado,SentimientoGeneral,Dificultad,AspectosPositivos,AspectosNegativos,GeneroMencionado,PlataformaMencionada,HorasJugadas
1,1,Positivo,Difícil,"['Diseño de la ciudad y nivel de detalle', 'Verticalidad en el diseño de niveles', ""Jugabilidad estilo 'lovechild' entre The Witcher y Deus Ex"", 'Variedad de armas y animaciones', 'Historia y personajes profundos', 'Libertad de elección en misiones']","['El juego puede volverse demasiado fácil', 'Falta de consecuencias que impacten el mundo', 'Problemas técnicos (mencionados brevemente)']",Cyberpunk,PC,160 horas
2,0,Negativo,No Mencionado,"['Ambiente y atmósfera', 'Música y banda sonora', 'Misiones secundarias interesantes']","['Muchos errores y bugs', 'Mecánicas RPG limitadas', 'Personalización del personaje pobre', 'No se puede cambiar la apariencia (pelo, etc.) después del inicio', 'Sistema de ropa basado solo en estadísticas', 'Actividades repetitivas', 'Mundo poco interactivo']",RPG,PC,60 horas
3,0,Negativo,No Mencionado,"['Ambiente y atmósfera', 'Música y banda sonora', 'Misiones secundarias interesantes']","['Muchos errores y bugs', 'Mecánicas RPG limitadas', 'Personalización del personaje pobre', 'No se puede cambiar la apariencia (pelo, etc.) después del inicio', 'Sistema de ropa basado solo en estadísticas', 'Actividades repetitivas', 'Mundo poco interactivo']",RPG,PC,60 horas
4,0,Negativo,Difícil,"['Mundo hermoso', 'Personalización de personajes', 'Diseño de moda', 'Sistema cooperativo (vía mod)']","['Jefes y enemigos punitivos/frustrantes', 'Tracking de ataques enemigo excesivo', 'Escasez de runas/recompensas', 'Reutilización excesiva de jefes y enemigos', 'Diseño de jefes tedioso']",Souls-like,PC,34 horas
5,0,Negativo,Difícil,"['Combate satisfactorio (heredado de DS3)', 'Diseño geográfico del mundo', 'Dirección de arte']","['Historia derivativa y conservadora', 'Repetición de contenido (dungeons, jefes)', 'Problemas técnicos (stutter, FPS)', 'Multijugador mal implementado', 'Misiones obtusas sin guía']",Souls-like,PC,150 horas
6,1,Positivo,No Mencionado,"['Excelente escritura de personajes y narrativa', 'Ciudad detallada', 'Sistema de progresión y builds', 'Banda sonora']","['Bugs y errores técnicos', ""Sistema de 'Lifepaths' decepcionante"", 'IA de NPCs y policía pobre', 'Falta de inmersión en el mundo abierto']",RPG,PC,70 horas
7,0,Negativo,No Mencionado,"['Gráficos', 'Banda sonora', 'Interpretación de Keanu Reeves']","['Promesas incumplidas (IA, rutinas de NPCs, sistema policial)', 'RPG lineal con pocas decisiones impactantes', 'Cortes en misiones y mecánicas (wall running)', 'Optimización pobre', 'Mundo poco interactivo']",RPG / Acción,,
8,1,Positivo,Difícil,"['Combate fenomenal y variado', 'Diseño de mundo fantástico', 'Libertad de exploración', 'Gran cantidad de contenido opcional']","['Problemas de rendimiento en zonas de carga', 'Reciclaje de jefes y enemigos']",Souls-like,PC,2000+ horas
9,1,Positivo,Difícil,"['Combate fenomenal y variado', 'Diseño de mundo fantástico', 'Libertad de exploración', 'Gran cantidad de contenido opcional']","['Problemas de rendimiento en zonas de carga', 'Reciclaje de jefes y enemigos']",Souls-like,PC,2000+ horas
10,1,Neutral,No Mencionado,"['Atmósfera de Night City', 'Gráficos y estilo visual', 'Modo foto', 'Variedad de estilos de juego', 'Historia principal']","['Muchos bugs y problemas de rendimiento', 'Misiones secundarias repetitivas', 'Falta de interactividad en el mundo', 'Contenido recortado', 'Sistema de ropa basado en estadísticas']",RPG,PC,
11,1,Positivo,No Mencionado,"['Mundo inmersivo', 'Escritura y narrativa fuerte', 'Personajes memorables', 'Banda sonora']","['Elementos RPG limitados', 'Bugs frecuentes', 'IA de enemigos poco adaptable', 'Lanzamiento desastroso']",RPG,PC,
12,0,Negativo,Difícil,"['Conducción de motocicletas', 'Primeras 4 horas de juego']","['Sigilo deficiente', 'IA de enemigos y NPCs janky', 'Bugs técnicos constantes', 'Sistema de loot repetitivo', 'Dificultad basada en aumento artificial de salud', 'Movimiento tosco', 'Historia apresurada al final']",Acción/RPG,,
13,1,Neutral,Fácil,"['Gráficos', 'Diseño de mundo', 'Escritura y narrativa', 'Banda sonora', 'Variedad de estilos de juego']","['Personalización limitada', 'IA de NPCs y enemigos pobre', 'Loot y sistema RPG insatisfactorios', 'Bugs y rendimiento', 'Lifepaths irrelevantes']",RPG,,
14,1,Negativo,Demasiado Difícil,"['Calidad técnica de producción', 'Mundo estéticamente atractivo']","['Combate dependiente de timings exigentes', 'Inputs laggy/mala respuesta de controles', 'Misiones/progresión obtusa', 'Dependencia total de wikis', 'Historia y motivación del personaje confusas']",Souls-like,PC,
15,0,Negativo,No Mencionado,"['Botón de salto', 'Música', 'Combate montado']","['Mundo vacío', 'Gráficos inconsistentes/lavados', 'Bugs y rendimiento pobre (stutter, crashes)', 'Janky movement', 'Eliminación de sistemas de juegos anteriores', 'Boss design repetitivo']",Souls-like,PC,5 horas
16,1,Positivo,Equilibrado,"['Diseño de mundo y exploración', 'Banda sonora', 'Combate satisfactorio', 'Libertad de aproximación']","['Repetición de estructuras y jefes', 'Dungeons muy similares entre sí', 'Problemas de framerate/stuttering']",Souls-like,PC,50+ horas
17,0,Negativo,Difícil,"['Banda sonora', 'Historia principal']","['Bugs y rendimiento pobre', 'IA pésima', 'Personalización y sistemas RPG superficiales', 'Ausencia de actividades en el mundo', 'Mundo muerto']",RPG,Consola/PC,58 horas
18,0,Negativo,No Mencionado,['Momentos de la historia'],"['Mecánicas de juego mal implementadas', 'Interfaz y gestión de inventario molesta', 'Personalización nula', 'Inconsistencia en el tono narrativo', 'Johnny Silverhand como personaje', 'Contenido recortado']",RPG/Acción,,40 horas
19,0,Negativo,No Mencionado,['Momentos de la historia'],"['Mecánicas de juego mal implementadas', 'Interfaz y gestión de inventario molesta', 'Personalización nula', 'Inconsistencia en el tono narrativo', 'Johnny Silverhand como personaje', 'Contenido recortado']",RPG/Acción,,40 horas
20,0,Neutral,No Mencionado,"['Historia y personajes', 'Gráficos', 'Música y diseño sonoro', 'Actuación de voz']","['Bugs y problemas de rendimiento', 'Mundo abierto superficial', 'IA terrible', 'Falta de interactividad', 'Conducción deficiente']",RPG,,
21,0,Negativo,No Mencionado,"['escritura', 'personajes', 'historia atractiva', 'banda sonora', 'estética visual']","['bugs y glitches', 'mala IA', 'mundo abierto superficial', 'conducción deficiente', 'falta de interactividad en la ciudad', 'sistema de combate mejorable']",Cyberpunk,,
22,0,Negativo,No Mencionado,"['personajes', 'gunplay', 'opciones gráficas personalizables']","['exceso de bugs', 'mal rendimiento', 'controles toscos', 'gestión de inventario', 'IA deficiente']",Cyberpunk,PC,menos de 10 horas
23,0,Negativo,No Mencionado,"['personajes', 'gunplay', 'opciones gráficas personalizables']","['exceso de bugs', 'mal rendimiento', 'controles toscos', 'gestión de inventario', 'IA deficiente']",Cyberpunk,PC,menos de 10 horas
24,0,Negativo,No Mencionado,"['potencial', 'historia principal', 'estética y diseño visual', 'banda sonora']","['bugs', 'inmersión baja', 'poca personalización', 'IA deficiente', 'falta de actividades secundarias']",Cyberpunk,,
25,0,Negativo,No Mencionado,"['historia buena', 'combate decente']","['bugs', 'falta de profundidad en el RPG', 'IA deficiente', 'mundo vacío', 'elecciones irrelevantes']",RPG,,
26,0,Negativo,No Mencionado,"['historia buena', 'combate decente']","['bugs', 'falta de profundidad en el RPG', 'IA deficiente', 'mundo vacío', 'elecciones irrelevantes']",RPG,,
27,0,Negativo,No Mencionado,"['estética visual', 'diseño de sonido', 'algunos personajes interesantes']","['bugs técnicos', 'mal rendimiento', 'conducción pobre', 'combate cuerpo a cuerpo clunky', 'UX irritante', 'IA defectuosa']",Cyberpunk,PC,más de 5 horas
28,0,Negativo,No Mencionado,"['estética visual', 'diseño de sonido', 'algunos personajes interesantes']","['bugs técnicos', 'mal rendimiento', 'conducción pobre', 'combate cuerpo a cuerpo clunky', 'UX irritante', 'IA defectuosa']",Cyberpunk,PC,más de 5 horas
29,0,Negativo,No Mencionado,"['estética visual', 'diseño de sonido', 'algunos personajes interesantes']","['bugs técnicos', 'mal rendimiento', 'conducción pobre', 'combate cuerpo a cuerpo clunky', 'UX irritante', 'IA defectuosa']",Cyberpunk,PC,más de 5 horas
30,1,Positivo,No Mencionado,"['historia', 'personajes', 'ambientación', 'banda sonora']","['conducción deficiente', 'IA de tráfico', 'bugs gráficos', 'minimapa poco útil']",RPG,PC,40 horas
31,1,Positivo,No Mencionado,"['historia', 'personajes', 'ambientación', 'banda sonora', 'sistema de implantes']","['bugs', 'contenido recortado', 'IA pobre', 'rendimiento inicial pobre']",Cyberpunk/RPG,PC,200 horas
32,0,Neutral,No Mencionado,"['estética visual', 'atmósfera', 'historia', 'misiones secundarias']","['bugs', 'mala IA', 'conducción', 'contenido recortado', 'sistema de policía', 'estructura lineal']",RPG,,100 horas
33,0,Negativo,No Mencionado,"['banda sonora', 'historia principal', 'misiones de personajes', 'gunplay']","['bugs', 'IA inexistente', 'conducción', 'personalización limitada', 'problemas de balance', 'contenido cortado']",Cyberpunk,PC,
34,1,Neutral,No Mencionado,"['historia', 'visuales', 'banda sonora', 'diseño del mundo']","['bugs', 'final decepcionante', 'conducción horrible', 'elecciones irrelevantes']",RPG,,
35,1,Neutral,No Mencionado,"['estética', 'vistas', 'personajes']","['bugs', 'falla en el rol', 'narrativa incoherente con la exploración', 'IA', 'expectativas no cumplidas']",RPG,,60 horas
36,1,Positivo,No Mencionado,"['mundo abierto enorme', 'elección libre', 'gráficos mejorados', 'mod support']","['animaciones anticuadas', 'actuación de voz mediocre', 'diseño de misiones simple']",RPG,"PlayStation 4, Xbox 1, PC",
37,1,Neutral,No Mencionado,"['combate', 'variedad de armas/armaduras', 'mundo abierto', 'historia']","['bugs', 'contenido reciclado', 'balance de builds pobre', 'jefes mecánicamente aburridos']",Soulslike/RPG,PC,menos de 100 horas
38,1,Neutral,No Mencionado,"['combate', 'variedad de armas/armaduras', 'mundo abierto', 'historia']","['bugs', 'contenido reciclado', 'balance de builds pobre', 'jefes mecánicamente aburridos']",Soulslike/RPG,PC,menos de 100 horas
39,1,Neutral,No Mencionado,"['diseño', 'gráficos', 'personajes', 'banda sonora', 'misiones secundarias']","['bugs', 'IA', 'personalización limitada', 'consecuencias de acciones inexistentes', 'jugabilidad repetitiva']",Cyberpunk,PC,
40,1,Neutral,No Mencionado,"['diseño', 'gráficos', 'personajes', 'banda sonora', 'misiones secundarias']","['bugs', 'IA', 'personalización limitada', 'consecuencias de acciones inexistentes', 'jugabilidad repetitiva']",Cyberpunk,PC,
41,0,Negativo,Difícil,"['Ambienciosa', 'Combate desafiante', 'Brillante en algunos aspectos']","['Diseño de combate injusto', 'Jefes demasiado agresivos', 'Reciclaje excesivo de jefes', 'Problemas técnicos', 'Sistema de cooperativo deficiente', 'Sistema de invasión frustrante', 'Input lag', 'Acción en cola (action queue)', 'Mala optimización en PC']",Soulsborne,PC,
42,0,Negativo,No Mencionado,['Visuales'],"['Bugs y fallos técnicos', 'Mundo abierto vacío', 'Elecciones irrelevantes', 'Mecánicas mediocres', 'Sistema de habilidades genérico', 'IA policial deficiente', 'IA de sigilo pobre']",RPG,"PC, Consola",
43,1,Positivo,No Mencionado,"['Mundo inmersivo', 'Gran tamaño del mapa', 'Detalles visuales', 'Historia decente', 'Sistema de relaciones', 'Variedad de aproximación']","['Bugs visuales', 'Conducción de coches rígida', 'Sistema de navegación (waypoint) pobre', 'UI desordenada', 'Fusiles de asalto ineficientes', 'Sigilo promedio']",Action RPG,PC,150h
44,1,Neutral,No Mencionado,"['Historia magistral', 'Personajes profundos y bien escritos', 'Misiones opcionales de alta calidad', 'Gráficos impresionantes']","['Mala optimización', 'Gameplay de FPS mediocre', 'Mundo abierto vacío', 'Falta de actividades de exploración', 'Falta de opciones de personalización']",FPS/Action-adventure,"PC, Consola",50-100h
45,0,Negativo,No Mencionado,"['Escritura de historias', 'Secuencias de misiones secundarias', 'Dirección de arte']","['Campaña de marketing engañosa', 'Mundo abierto superficial', 'IA de vehículos inexistente', 'Poca profundidad como RPG', 'Mecánicas de conducción mediocres', 'Pacing lento']",RPG,,
46,0,Negativo,No Mencionado,"['Escritura de historias', 'Secuencias de misiones secundarias', 'Dirección de arte']","['Campaña de marketing engañosa', 'Mundo abierto superficial', 'IA de vehículos inexistente', 'Poca profundidad como RPG', 'Mecánicas de conducción mediocres', 'Pacing lento']",RPG,,
47,0,Negativo,No Mencionado,"['Historia aceptable', 'Actuación de voz']","['Bugs', 'Falta de profundidad en el género cyberpunk', 'Mecánicas incompletas', 'IA deficiente', 'Mundo vacío']",Action-RPG,,
48,0,Negativo,No Mencionado,"['Historia aceptable', 'Actuación de voz']","['Bugs', 'Falta de profundidad en el género cyberpunk', 'Mecánicas incompletas', 'IA deficiente', 'Mundo vacío']",Action-RPG,,
49,0,Negativo,No Mencionado,"['Historia excelente', 'Personajes bien escritos', 'Música fantástica', 'Sistema de atributos/perks']","['Optimización terrible', 'Bugs frecuentes', 'Mundo abierto superficial', 'Falta de inmersión', 'Limitaciones en personalización', 'IA deficiente']",RPG,PC,
50,1,Neutral,No Mencionado,"['Historia', 'Variedad de finales', 'Mundo vivo', 'Misiones secundarias']","['Bugs críticos', 'Gestión de inventario y munición', 'IA de enemigos rota', 'Perk de desensamblaje automático mal diseñado']",Action-RPG,,60h
51,0,Negativo,No Mencionado,"['Arte visual', 'Atención al detalle', 'Historia']","['Contenido vacío', 'Misiones secundarias repetitivas', 'Bugs de scripting', 'Balanceo de armas y habilidades deficiente', 'Falta de sistemas de facciones']",Action-RPG,,249h
52,0,Negativo,Difícil,"['Sistema de cenizas de guerra', 'Dirección de arte', 'Variedad de armas y armaduras']","['Mundo abierto vacío', 'Diseño de niveles mediocre', 'Quests confusas y sin dirección', 'Balanceo deficiente de jefes', 'Repetitividad']",Soulsborne,,
53,0,Negativo,No Mencionado,"['Historia', 'Modelado de personajes']","['Optimización pobre', 'Bugs', 'IA deficiente', 'Física de conducción terrible', 'Personalización limitada', 'Balanceo de habilidades pobre', 'Interfaz de usuario']",RPG,PC,
54,0,Negativo,No Mencionado,"['Historia', 'Modelado de personajes']","['Optimización pobre', 'Bugs', 'IA deficiente', 'Física de conducción terrible', 'Personalización limitada', 'Balanceo de habilidades pobre', 'Interfaz de usuario']",RPG,PC,
55,0,Negativo,No Mencionado,"['Historia', 'Modelado de personajes']","['Optimización pobre', 'Bugs', 'IA deficiente', 'Física de conducción terrible', 'Personalización limitada', 'Balanceo de habilidades pobre', 'Interfaz de usuario']",RPG,PC,
56,0,Negativo,No Mencionado,"['Mundo', 'Lore (comparado con Morrowind)']","['Combate dated/repetitivo', 'Historia superficial', 'Escritura de facciones pobre', 'Mecánicas de magia y alquimia mediocres', 'Falta de impacto de las decisiones del jugador']",RPG,,100h
57,0,Negativo,No Mencionado,"['Atmósfera inicial', 'Misiones secundarias']","['Bugs', 'Optimización', 'Mundo abierto vacío', 'IA deficiente', 'Historia poco envolvente', 'Gameplay repetitivo']",Action-adventure,,4h
58,0,Negativo,Difícil,"['Diseño de mapa', 'Visuales', 'Diseño de sonido', 'Mundo inmersivo']","['Optimización', 'Jefes reutilizados y desbalanceados', 'Sistema de juego catering a rangos/invocaciones', 'Sistema de misiones confuso']",Soulsborne,,
59,0,Negativo,No Mencionado,"['Visuales', 'Modelado de personajes', 'Música']","['Estado técnico horrible', 'Optimización', 'Bugs de audio', 'Actuación de voz de V inconsistente', 'IA de NPCs pobre', 'Sistema de habilidades superficial']",RPG,PC,50h
60,0,Negativo,No Mencionado,"['Gráficos', 'Misiones secundarias']","['Mundo abierto sin vida', 'IA policial deficiente', 'Historia olvidable', 'Bugs', 'Optimización', 'Sistema de inventario y crafteo pobre']",RPG,PC,
61,0,Negativo,No Mencionado,"['estética', 'vehículos', 'interiores', 'distritos de la ciudad', 'modo foto', 'creador de personajes', 'sistema de progresión']","['juego apresurado', 'crisis de identidad', 'publicidad engañosa', 'decisiones sin impacto', 'ciudad superficial', 'poca variedad', 'personalización de ciberware limitada', 'falta de modo en tercera persona', 'bugs frecuentes']",RPG,,
62,0,Negativo,Equilibrado,"['combate y movimiento mejorados', 'sistema de crafteo', 'caballo', 'gráficos', 'diseño de jefes', 'actuación de voz', 'música']","['ritmo terrible', 'problemas de balance/grindeo', 'jefes mediocres o repetidos', 'diseño de niveles con poca profundidad', 'mundo vacío', 'escalado inadecuado']",Open world dark souls,,
63,0,Negativo,Difícil,"['fórmula souls', 'jugabilidad entretenida', 'jefes geniales']","['problemas de QA y calidad de vida', 'crasheos y corrupción de archivos', 'problemas con mensajes de jugadores', 'daño por caída inconsistente', 'stuttering', 'balance del multijugador', 'grindeo excesivo', 'enemigos desbalanceados']",Souls-like,PC,43 horas
64,1,Positivo,Difícil,"['sistema de frascos/ítems', 'variedad de armas', 'diseño de áreas', 'sistema de magia', 'mundo no lineal']","['balance de armas', 'daño excesivo de jefes en late game', 'runbacks largos', 'peleas contra múltiples jefes', 'falta de variedad en algunos tipos de magia']",Soulslike,,
65,1,Positivo,Difícil,"['gráficos', 'mundo abierto', 'variedad de builds', 'invocaciones espirituales', 'NPCs y misiones']","['vagueza en las misiones', 'problemas de multijugador/desconexiones', 'bugs y stuttering', 'meta desbalanceado', 'balance general cuestionable']",Souls-like,,
66,0,Positivo,Difícil,"['world building', 'historia', 'diseño de jefes', 'combate']","['repetitividad de enemigos/jefes', 'problemas de balance en PvP', 'bugs', 'problemas de rendimiento', 'controles de PC deficientes']",RPG,PC,
67,0,Positivo,No Mencionado,"['mundo vibrante', 'iluminación', 'banda sonora', 'ciertos aspectos de la historia']","['falta de sustancia', 'sistema de perks aburrido', 'problemas técnicos', 'gunplay torpe', 'pacing', 'actuación de Johnny Silverhand']",RPG,PC,
68,0,Positivo,No Mencionado,"['mundo vibrante', 'iluminación', 'banda sonora', 'ciertos aspectos de la historia']","['falta de sustancia', 'sistema de perks aburrido', 'problemas técnicos', 'gunplay torpe', 'pacing', 'actuación de Johnny Silverhand']",RPG,PC,
69,0,Negativo,No Mencionado,"['gráficos de la ciudad', 'banda sonora', 'personajes interesantes']","['problemas fundamentales no resueltos', 'lifepaths sin impacto', 'pacing de la historia', 'mecánicas aburridas', 'sistema de looter shooter', 'economía desbalanceada', 'vehículos innecesarios']",,,
70,0,Negativo,No Mencionado,"['gráficos de la ciudad', 'banda sonora', 'personajes interesantes']","['problemas fundamentales no resueltos', 'lifepaths sin impacto', 'pacing de la historia', 'mecánicas aburridas', 'sistema de looter shooter', 'economía desbalanceada', 'vehículos innecesarios']",,,
71,1,Positivo,No Mencionado,"['mundo y arquitectura', 'world building', 'personajes (Jackie y Judy)']","['bugs', 'policía deficiente', 'conducción', 'gunplay clunky', 'elementos de RPG irrelevantes', 'falta de contenido en el mundo abierto', 'final insatisfactorio']",RPG,PC,56 horas
72,0,Negativo,No Mencionado,"['estabilidad de 64 bits', 'oclusión de lluvia', 'Alt-Tab funcional', 'distancia de dibujado']","['texturas de baja calidad', 'bugs persistentes', 'falta de soporte para mods/SKSE', 'audio comprimido', 'precio/avaricia de Bethesda']",,PC,
73,0,Negativo,No Mencionado,"['estabilidad de 64 bits', 'oclusión de lluvia', 'Alt-Tab funcional', 'distancia de dibujado']","['texturas de baja calidad', 'bugs persistentes', 'falta de soporte para mods/SKSE', 'audio comprimido', 'precio/avaricia de Bethesda']",,PC,
74,0,Negativo,Difícil,['aspecto estético y técnico de la ciudad'],"['mundo vacío sin consecuencias', 'sistema de sigilo pobre', 'enemigos sordos', 'gunplay con bullet sponges', 'sistema de habilidades irrelevante', 'bugs']",RPG,,32 horas
75,0,Neutral,No Mencionado,"['personajes (Jackie y Panam)', 'gráficos', 'banda sonora', 'fidelidad visual']","['bugs frecuentes', 'mundo superficial', 'poca profundidad en misiones', 'Lifepaths irrelevantes', 'diálogos estilo Fallout 4', 'conducción mediocre']",RPG,,
76,0,Negativo,No Mencionado,[],"['IA de NPCs deficiente', 'sistema policial roto', 'falta de rutinas diarias', 'features prometidas eliminadas', 'falta de personalización', 'bugs']",RPG,,
77,1,Positivo,No Mencionado,"['mundo masivo', 'creador de personajes', 'gráficos y optimización', 'banda sonora', 'crafteo']","['multijugador inestable', 'límite de 4 jugadores', 'falta de arenas PvP', 'balance de builds (Moonveil/Bloodhound step)']",Soulslike,,300 horas
78,1,Positivo,Fácil,"['estética de Night City', 'personajes (Panam)', 'historia']","['bugs', 'dificultad desbalanceada (fácil)', 'conducción extraña', 'crafteo poco intuitivo']",RPG,PC,
79,1,Positivo,Fácil,"['estética de Night City', 'personajes (Panam)', 'historia']","['bugs', 'dificultad desbalanceada (fácil)', 'conducción extraña', 'crafteo poco intuitivo']",RPG,PC,
80,0,Negativo,No Mencionado,"['gráficos', 'estética', 'atmósfera']","['bugs', 'historia poco atractiva al inicio', 'lifepaths sin influencia', 'falta de personalización profunda', 'características eliminadas', 'sigilo poco divertido']",RPG,,
81,1,Positivo,Equilibrado,"['gran historia', 'decisiones impactantes', 'estética atmosférica', 'banda sonora', 'actuación de voz', 'rejugabilidad']","['muchos bugs', 'rendimiento pobre', 'tareas de la policía tediosas', 'mecánicas subutilizadas']",RPG de mundo abierto,PC,más de 50 horas
82,0,Negativo,No Mencionado,"['atmósfera de Night City', 'gráficos faciales de personajes principales']","['muchos bugs', 'policía mal programada', 'falta de personalización', 'conducción horrible', 'juego inacabado']",Open World,PC,11 horas
83,0,Neutral,No Mencionado,"['diseño de Night City', 'narrativa', 'banda sonora', 'combate estilo Doom']","['bugs', 'rendimiento pobre', 'falta de personalización', 'IA deficiente', 'historia simplificada', 'opciones de rol limitadas']",RPG de mundo abierto,PC,80 horas
84,1,Neutral,Equilibrado,"['historia principal', 'personajes', 'banda sonora', 'sistema de habilidades']","['IA de multitudes y policía deficiente', 'mundo vacío', 'falta de personalización', 'bugs constantes']",RPG,null,50 horas
85,0,Negativo,Difícil,['momentos visuales'],"['historia sin rumbo', 'elementos RPG superficiales', 'falta de opciones', 'falta de calidad de vida', 'recompensas de misiones no escalan', 'conducción']",RPG,null,más de 40 horas
86,0,Negativo,Equilibrado,['mundo e historia'],"['IA de NPCs y coches', 'sistema policial deficiente', 'interactividad escasa', 'sistema de crafteo inútil', 'combate básico']",RPG,PC,null
87,0,Negativo,Difícil,"['variedad cuerpo a cuerpo', 'estética y diseño de mundo', 'mazmorras de legado']","['diseño de jefes injusto', 'combos infinitos', 'jefes repetidos', 'final decepcionante']",Soulslike,null,null
88,1,Positivo,Equilibrado,"['historia y misiones', 'diseño de ciudad', 'combate', 'variedad de armas', 'banda sonora']","['bugs', 'oportunidades perdidas en actividades', 'conducción', 'sistema policial', 'poca relevancia de caminos de vida']",RPG,PC,más de 150 horas
89,0,Negativo,Demasiado Difícil,['diseño visual de criaturas'],"['dificultad injusta', 'repetición', 'escritura floja', 'carencia de registro de misiones', 'mundo vacío', 'multijugador limitado']",Open World,null,88 horas
90,0,Negativo,Difícil,['aspecto intangible divertido'],"['conducción horrible', 'falta de personalización', 'disparos rígidos', 'combate cuerpo a cuerpo no viable', 'escritura predecible', 'actuación de voz irregular']",RPG,null,6 horas
91,0,Negativo,Difícil,['aspecto intangible divertido'],"['conducción horrible', 'falta de personalización', 'disparos rígidos', 'combate cuerpo a cuerpo no viable', 'escritura predecible', 'actuación de voz irregular']",RPG,null,6 horas
92,0,Negativo,Difícil,['aspecto intangible divertido'],"['conducción horrible', 'falta de personalización', 'disparos rígidos', 'combate cuerpo a cuerpo no viable', 'escritura predecible', 'actuación de voz irregular']",RPG,null,6 horas
93,1,Positivo,Equilibrado,"['diseño de mundo abierto', 'variedad de enemigos', 'gráficos', 'lore']","['lag en PvP', 'dificultad de jefes inconsistente', 'bugs en misiones', 'interfaz']",RPG,null,null
94,0,Negativo,No Mencionado,['ninguno mencionado'],"['bugs', 'mundo vacío', 'IA de policía nefasta', 'misiones mediocres', 'falta de profundidad']",RPG de mundo abierto,null,12 horas
95,1,Positivo,Equilibrado,"['temática y construcción de mundo', 'historia principal', 'ciertas misiones secundarias', 'narrativa']","['gameplay repetitivo', 'bugs persistentes', 'side jobs genéricos']",Open World,null,null
96,1,Neutral,No Mencionado,"['historia principal', 'misiones secundarias']","['bugs y glitches', 'IA de tráfico y policía', 'elementos RPG mal implementados', 'final apresurado']",RPG / Action FPS,PC,null
97,1,Positivo,Equilibrado,"['historia', 'gráficos', 'música', 'duración', 'DLCs']","['pocos bugs', 'interfaz sin doblaje castellano']",RPG,PC,993 horas
98,0,Negativo,Equilibrado,['algunas misiones daédricas'],"['misiones genéricas', 'dungeons repetitivos', 'puzles simplistas', 'historia sin incentivo personal', 'actuación de voz limitada', 'grind']",RPG,null,null
99,0,Negativo,Equilibrado,"['banda sonora', 'actuaciones de voz', 'Jacky y Johnny']","['bugs', 'rendimiento', 'conducción', 'historia tediosa', 'gunplay mediocre', 'IA deficiente', 'texturas']",RPG,PC,null
